text	status
那种 光明 力量 总是 美丽 而 诱人 ， 暗淡 力量 ， 时而 美丽 ， 时而 却 古怪 离奇 ， 只有 黑暗 力量 ， 才 会 将 其 扭曲 的 特征 以 丑陋 又 恐怖 的 方式 表现 出来 。 川普 说 ， 中国 人 好日子 ， 过 太久 了 。 希望 老 川普 换 一种 更加 开放 眼光 看 世界 ， 世界 会 变得 更加 美好 。	OK
床破 贱卖 美国 普世 价值观 ， 惹 来 众怒 ！ - - - 哈哈 ， 其实 床破 干 啥 现在 都 会 惹 来 众怒 ， 谁 叫 你 把 众议院 丢 了 呢 ？ 推荐 文章 ： 《 特朗普 站 沙特 美媒 不能 忍 ： 把 美国 价值 卖 了 》 - 观察者 网 O 特朗普 站 沙特 美媒 不能 忍 ： 把 美国 价值 卖 了	OK
孟晚 舟 这件 事 当局 处理 有些 软 了 中国 公民 的 合法权益 ， 人身安全 能否 得到 保障 当局 换 做 是 普京 大帝 你 在 本国 境内 美国 有头有脸 的 人物 就别 想 离开 领土 半步 美国 引渡 的 意图 再 明显 不过 是因为 最近 贸易战 有 好转 迹象 不想 破坏 吗 人善 被 人 欺 大清 对 列强 步步 退让 最后 亡国 的 教训 忘 了 吗 贸易战 美国 为什么 这么 嚣张 美国 对 你 反制 措施 不怕 啊 zhong 方在 贸易战 上 也 是 谈判 谈判 谈判 说实话 是 怕 了 贸易战 的 结果 在 a 股 体现 的 一清二楚 体无完肤 美国 正是 抓住 这点	B
接下来 几个 月 ， 估计 中国 出口 美国 贸易额 不降反升 的 可能性 更大 。 美 确定 加征 10% 关税 ， 实际 仍然 在 美国 消费者 承受 范围 内 ， 一方面 是 美元 升值 ， 一方面 是 无法 找到 替代品 。 而 更 重要 的 是 ， 特朗普 威胁 加码 25% 关税 的 声援 ， 使得 美国 消费者 产生 将来 商品 更贵 的 心理 预期 。 所以 ， 当 美国 在 试 水温 的 时候 ， 却 实际 是 在 不断 地 给 美国 消费者 输出 早买 早 好 的 心理 暗示 。 而且 10% 的 关税 并 不能 使得 订单 同步 下降 10% 的 情况 下 ， 中国 账面 上 出口额 肯定 是 增加 的 。 今年 ， 中国 对美 出口额 是 稳中有进 ， 已 是 定局 。 明年 的 形势 才 是 严峻 的 ， 但是 对 中国 整体 经济 影响 有限 。 至多 三年 ， 美国会 跪求 中国 购买 美国 商品 。 明年 互征 25% ， 美国 的 货物 出口 竞争力 还是 不如 中国 。	OK
自从 孟晚 舟 在 加拿大 被捕 以后 ， 朋友圈 和 微博 铺天盖地 都 是 华为 的 软文 ， 华为 竟然 这么 牛 逼 ， 可是 我 觉得 小米 也 非常 好 呢	OK
就 盼 东方红 电 大 班长 乃江庚 ， 带领 同学 共 圆梦 。 十年 文革 前程 断 ， 想 上 大学 落了空 。 离职 齐聚 电大班 ， 不惑之年 攀书峰 。 学海 浩瀚 巧弄 桨 ， 力登 彼岸 扬帆 影 。 不负 两年 好时光 ， 摘得 桂冠 再踏程 。 人生 路上 不 停步 ， 奉献 人民 建勋功 。 如今 身退志 未改 ， 为 圆国 梦 还 冲峰 。 念念不忘 老 黄忠 就 盼 东方 太阳 红	OK
放弃 孟晚 舟 ， 就是 放弃 中国 的 未来 ！ O 放弃 孟晚 舟 ， 就是 放弃 中国 的 未来 ！	B
今日 山东 【 我省 体育 企业 组团 参加 体博会 】 省 体育局 消息 ， 2018 中国 体育 文化 博览会 、 中国 体育 旅游 博览会 12 月 11 日 在 广州 举行 ， 我省 体育 企业 届时 将 组团 参加 。 本届 博览会 以 “ 新 时代 新 体育 新 生活 ” 为 主题 ， 现场 将 设置 六大 主题 展区 ， 配备 十余种 配套 活动 ， 全面 展示 体育 成果 及 文化 ， 彰显 我国 体育 文化 软 实力 。	OK
有点 无法 直视 某 “ 同胞 ” 嘴里 说 的 那句 “ 瑞典 是 非常 尊重 法治 和 人权 的 国家 ” ， 一看 对方 身份 ， 在 瑞典 生活 的 华人 。 华人 热爱 自己 的 家乡 ， 好像 也 没有 问题 。	OK
转发 好消息 ： 看 视频 《 国家主权 网络 IPV9 正式 亮相 》 后 ， 才 知道 为什么 说 网络安全 就是 国家 安全 ， 才 知道 为什么 美国 这么 富有 。 我们 每天 打电话 、 微信 、 QQ 和 上网 使用 的 都 是 美国 的 因特网 IPV4 母根 服务器 、 主根 服务器 （ 即 ： 互联网 ） 。 中国 与 美国 签订 了 从 2000 年 ~ 2020 年 租用 因特网 20 年 的 协议 ， 每年 向 美国 交租金 ， 随着 用量 的 增加 每年 租金 都 在 上长 ， 其中 ， 2007 年 是 5000 亿 ， 2017 年 是 7800 亿 ， 到 2020 年 最后 一年 是 60000 亿 （ 六 万亿 ） ， 这 只是 中国 的 租金 。 全世界 每个 国家 都 租用 美国 的 因特网 ， 试想 美国 有多富 ？ ！ 举个 美国 的 例子 （ 用 中国 话 来说 ） ， 美国 享受 国家 低保 的 人员 包括 在 街上 的 乞讨 人员 在内 ， 每天 一日三餐 的 生活 质量 比 中国 普通 的 工薪阶层 的 生活 质量 还要 好 得 多得多 ， 不但 衣食无忧 ， 而且 还 可以 到 全球 旅游 ， 可见 美国 有多富 。 2014 年 ， 中国 自己 研发 成功 了 具有 自主 知识产权 的 IPV9 母根 服务器 、 主根 服务器 ， 就 与 美国 谈判 要 回 话语权 ， 被 美国 一票否决 了 。 2015 年 ， 中国 专家 代表团 在 联大 会员国 会员 中 做 试范 介绍 后 ， IPV9 的 安全性 和 质量 远远 超过 了 美国 的 IPV4 和 IPV6 ， 被 全体 会员 所 接受 ， 美国 交出 了 话语权 ， 联合国 把 话语权 交给 了 中国 。 又 经过 谈判 ， 在 2017 年 美国 又 交出 了 管理权 ， 联合国 又 把 管理权 交给 了 中国 ， 并 给 了 中国 100 年 的 使用 和 管理权 。 也就是说 ， 当 2020 年 租期 一到 ， 中国 就 可以 使用 具有 自主 知识产权 的 IPV9 母根 服务器 、 主根 服务器 。 到 现在 已经 有 25 个 国家 与 中国 签订 了 租用 协议 。 2018 年 中国 在 全国 所有 接收 发送站 已经 全部 建成 ， 2019 年 中国 全国 试运行 ， 到 2020 年 租期 一到 ， 关闭 因特网 ， 接上 我国 自己 的 新一代 互联网 ， 即物 联网 IPV9 。 如果说 因特网 IPV4 、 IPV6 造就 了 美国 的 辉煌 ， 那么 ， 物 联网 IPV9 从 2021 年 开始 到 2120 年 的 100 年 中将 造就 中国 的 辉煌 。 这 就是 中国政府 向 全世界 庄严 宣布 实现 两个 一百年 宏伟目标 的 底气 所在 。 这才 叫 实力 — — 请 转发	B
美国 特朗普 的 ” 退群 “ ， 让 ” 退群 “ 一词 出现 在 了 2018 最 流行 的 十大 网红词 中 ， 这样 的 ” 玩笑 “ ， 平明 百姓 情 何以堪 。 于是 ， 今天 我 也 成功 的 完成 了 ” 退群 “ 。 O 退群 成功	OK
本来 中 美 贸易战 ， 我 担心 的 是 iPhone 价格 高 的 买不起 。 。 现在 发现 如果 要 涨价 ， 那 似乎 是 涨价 是 美国 本土 。 。 川普 真是 三星 神 助攻 。 。 。	B
腾讯 新出 的 自制 纪录片 风味 人间 太 好看 了 是 我 继 舌尖 上 的 中国 之后 看过 最 好看 的 美食 纪录片 上网 查 了 查 原来 是 舌尖 的 团队 拍 的 我 说 怎么 这么 好看 原来 是 同样 的 配方 哈哈 后悔 没多 读点 书 不然 夸人 的 时候 都 不 知道 怎么 夸 就 会 说 一句 真 tm 的 好看	OK
"看到 好多 人 说 ， 更何况 在 发达国家 ， 瑞典 警察 暴力 执法 应该 有 理由 "" ， 我佛 了 ， 发达国家 拉 的 屎 都 是 香 的 ， 如果 你 说 臭 是因为 你 鼻子 有 问题 西方 民主 国家 都 是 完美 的 没有污点 的 """	B
【 陈大状 等 公知 为何 偷换概念 围攻 重庆 高考 政审 ？ 】 重庆 政审 问题 也 是 这样 ， 陈大状 等 公知们 在 明 知道 此 “ 政审 ” 非 彼 “ 政审 ” 的 情况 下 ， 故意 玩弄 偷换概念 的 诡辩术 ， 把 这些年来 一直 正常 执行 的 “ 思想 政治 品德 考核 ” 硬是 指鹿为马 解释 成为 改革开放 以前 尤其 是 文革 时 （ 分享 自 O 陈大状 等 公知 为何 偷换概念 围攻 重庆 高考 政审 ？ _ 察言观行 _ 察网	OK
川普 不 可怕 ， 可怕 的 是 小平 。 周小平 、 吴小平 、 邱小平 ， 你们 玷污 了 “ 小平 ” 二字 ， 少喷点 恐吓 民众 的 二 逼 言论 ， 比 万亿 救 市 资金 还强 ！	B
居然 连热 搜 都 没上 ， 名字 也 被和谐 了 ， 发 不 出来 果然 还是 有 两把刷子 的 补缴 税款 加 罚款 加 滞纳金 超过 8 亿 ， 不用 坐牢 还是 比 刘阿姨 后台 硬些 2 湖南省 · 湘西土家族苗族自治州	B
美国 总统 特朗普 ： 相比 我 （ 2017 年 年初 ） 入主 白宫 之前 ， 伊朗 的 形势 完全 不同 了 。 美国 在 打击 ISIS 上 “ 表现出色 ” 。	OK
今天 是 2018 最后 一天 ， 原本 今年 是 改革开放 四十周年 ， 中国 手中 握 了 一把 好牌 。 但是 ， 这 一年 发生 了 太 多 的 事 ， 大家 的 期望 落空 了 ， 春天 的 时候 就 说 “ 寒冬 将 至 ” ， 对于 即将 到来 的 2019 充满 忧虑 。 但是 ， 我 坚信 “ 发展 是 硬道理 ” ， “ 民心 不可 侮 ” ， 中国 还是 会 克服 重重困难 ， 中国 人民 的 勤奋 和 创造力 一定 能 迎来 柳暗花明 的 2019	B
卡塔尔 的 石油 产量 ， 占 比 虽然 很少 ， 但 退出 石油 输出国 联盟 ， 也 相当于 往 沙特 的 后脑勺 ， 敲 了 一 棒子 ， 不疼不痒 的 ， 也 很 难受 的 吧 ， 至少 是 ， 操纵 油价 的 砝码 轻 了 许多 ， 这次 油价 的 下跌 ， 是 特朗普 的 “ 功劳 ” ， 即使 沙特 和 俄罗斯 想 合谋 国际 油价 ， 但 能量 有限 ， ， ， ， 。 【 卡塔尔 突然 退出 OPEC ， 世界 石油 联盟 就此 完蛋 ？ 】 （ 分享 自 O 卡塔尔 突然 退出 OPEC ， 世界 石油 联盟 就此 完蛋 ？	OK
所以 这个 故事 告诉 我们 ， 双标 适用 于 所有 国家 。 不管 你 （ 国家 ） 是 姓 民主 的 还是 属 集权 的 ， 历史 告诉 你 人权 永远 不会 是 绝对 的 ， 更加 不会 是 第一位 被 考虑 的 要素 。 毕竟 世界 不是 以 道德 的 标准 为 转移 。 但 这 并 不 影响 道德 是 世界 存活 下去 的 一个 重要 的 因素 。	B
天津日报 天津日报 ， 作为 党报 国企 ， 利用 旗下 八条 鱼 p2p 骗取 上万 百姓 的 血汗钱 ， 最后 运用 甩锅 ， 武力威胁 镇压 ， 威胁 ， 强取豪夺 ， 我 不 知道 这条 微博 多久 又 会 被和谐 ， 但 我 期望 有人 政府 能够 出面 为 我们 做主	B
D54 中国 的 先进分子 认识 到 工人阶级 的 重要 作用 是 在 五四运动 后 必须 优先 改造 国民性 是 新文化运动 初期 中国 知识分子 的 共识 ， 主要 针对 的 是 北洋政府 尊 孔复古 的 政策 第一次世界大战 期间 ， 西方 列强 为了 争夺 利益 彼此 兵戎相见 ， 暴露 了 西方 民主 制度 的 虚伪 ， 中国 的 先进分子 对 西方 资产阶级 民主主义 产生 了 怀疑 辛亥革命 结束 了 统治 中国 两千多年 的 封建 君主专制 制度 建立 了 中国 历史 上 第一个 资产阶级 共和 政府 （ PS ： 经济 上 没有 彻底 的 废除 封建 土地 剥削制度 ， 但 在政治上 彻底 的 废除 了 推翻 了 封建 君主专制 制度 ）	OK
"12 月 4 日 报道 ， 美国 总统 特朗普 在 谈及 非法 移民 和 贩毒 问题 时 表示 ， 在 必要 情况 下 美国 将 关闭 整个 南部 边境 。 特朗普 在 推特 中称 ： 如果 民主党 支持 我们 修建 隔离墙 ， 我们 本 可以 保留 数十亿美元 （ 约合 68 亿 人民币 ） 。 无论如何 ， 我们 不会 让 非法 移民 进入 我们 的 国家 。 如果 有 必要 ， 我们 将 关闭 整个 南部 边境 。 切断 贩毒 的 道路 ！ "" """	OK
油价 小幅 上涨 ， 交投 旺盛 ， 走势 震荡 ， 回吐 了 大部分 稍早 的 涨幅 ， 因在 美国 总统 特朗普 周四 再次 抨击 石油输出国组织 ( OPEC ) 后 ， 有 消息 称 主要 产油国 考虑 增加 供应 。 布兰特 原油 收高 0.1 美元 ， 报 每桶 78.80 美元 ， 美国 原油 收升 0.46 美元 ， 报 每桶 70.78 美元 ， 比日 高 71.80 美元 低 了 逾 1 美元 。 本周 ， 美国 原油 上涨 2.5% ， 布兰特 原油 升 0.7% 。	OK
团结起来 ， 振兴中华 ！ 中国 人民 的 爱国主义 和 自力更生 精神 ， 是 社会主义 现代化 建设 的 强大 力量 。 对 党和人民 要忠 ， 对 国家 和 事业 要 爱 。 苟利国家生死以 ， 岂因祸福避趋之 。 爱国 是 文明 人 的 首要 美德 。	B
在 中美 贸易战 这个 问题 上 ， 别 嘲笑 政府 的 让步 和 妥协 ， 那 是 爱国 小 粉红 的 脑残 。 就 像 当年 朱 总 加入 WTO 时 的 让步 ， 让 中国 经济 开始 了 繁荣 之旅 一样 。 这次 的 让步 和 妥协 ， 如果 能 达成 ， 中国 必将 全面 的 崛起 。 我们 有 一天 终 会 感谢 美国 ， 让 我们 痛下决心 彻底 改革 。	B
川普 的 加 关税 只是 个 威胁 的 预期 举措 ， 怎么 变成 谈判 筹码 了 ？ 让 他 加 啊 ， 25% 让 美国 通胀 问题 不 大 。	OK
边防 改革 当年 我们 响应 国家 计划生育 的 国策 只生 一个 孩子 ， 像 我们 这些 六七十年代 的 人大 多 都 是 一个 孩子 ， 如今 也 是 积极响应 国家 号召 ， 我们 把 唯一 的 孩子 送 去 部队 建功立业 ， 盼 着 就是 部队 的 转业 政策 能 让 孩子 报效 完 国家 回到 我们 身边 养老送终 ， 现在 ， 希望 化成 泡影 ， 万念俱灰 孩子 就 地 划转 安置 降职 降薪 ， 相隔 三千多 公里 ， 我们 老 了 怎么办 ， 这 完全 与 当年 国家 计划生育 的 政策 相悖 ， 决策者 们 ， 放 孩子 们 一条 生路 吧 ！ ！ ！ 2 呼和浩特 · 阿尔泰	B
特朗普 ： 应 会 按计划 上调 中国 商品 关税 | 联合 早报网 O 特朗普 ： 应 会 按计划 上调 中国 商品 关税 | 联合 早报网	OK
9 月 15 日 周六 ， 华尔街日报 援引 知情 人士 消息 称 ， 特朗普 计划 近日 宣布 对华 2000 亿美元 商品 征收 关税 ， 关税 或 以 10% 的 税率 征收 ， 但 未 最终 确定 。 今 又 闻 贸易谈判 存在 新 变数 和 阻力 ， 商品 期货 盘面 豆粕 领涨 ， 有色金属 等 工业品 领跌 ， 大抵 是 纠结 贸易 之战 的 结果 ， 大盘 指数 2638 附近 哀鸣 ， 破 而 反攻 3000 ？ 亦 或是 死亡 行军 直抵 2000 ？	B
美国 总 川普 1 日 在 密苏里州 的 造势 大会 上 表示 ， 中国 有 许多 高官 一边 想要 与 美国 开战 ， 一边 利用 出生 公民权 ， 抢 着 到 美国 产子 ， 他 嘲讽 道 ， 很多 高官 一家子 都 是 「 外国人 」 ， 这些 孕妇 抢 着 来 生产 ， 甚至 发展 出 赴美 产子 的 「 生育 旅游业 」 ， 为 的 就是 把 一家人 「 连锁 移民 」 到 美国 。	OK
我妈 他们 50 后 这 一代人 是 真的 苦 。 三年 自然灾害 、 文革 都 经历 过 了 。 舍不得 钱 。 什么 都 嫌贵 。 什么 都 舍不得 扔 。 爱 攀比 。 别人 家 的 孩子 永远 比 自己 孩子 好 。 仇恨 日本 。 始终 相信 结婚 生子 = 圆满 、 单身 = 残缺 。 我 觉得 ， 一生 想不通 ， 是 他们 最大 的 苦 。	B
2018 第二届 中国 生物 发酵 健康 产业 创新 高峰论坛 暨 全国 功能 发酵 食品 消化 与 营养 评价 中心 揭牌 仪式 在 浙江工业大学 举行 。 副校长 苏为华 出席会议 并 致辞 ， 由 中国 生物 发酵 产业协会 与 浙江 工商大学 合作 共建 的 “ 全国 功能 发酵 食品 消化 与 营养 评价 中心 ” 正式 落户 我校 。 味觉 改变 生活	OK
美国 总统 唐纳德 · 特朗普 表示 ， 在 收到 中国 对 他 要求 的 回应 后 ， 他 对 解决 两国之间 的 贸易 争端 感到 乐观 。 特朗普 周五 对 记者 表示 ， 中国 的 清单 已经 相当 完整 ， 但 缺少 四五个 重要 问题 。 特朗普 说 ： “ 中国 希望 达成协议 ， 他们 发了 一份 他们 愿意 做 的 事情 的 清单 ， 一个 很大 的 清单 ， 但 我 还 不能 接受 ， 但 在 某种程度 上 我 认为 ， 我们 在 处理 中国 上面 做 得 非常 好 。 ” 特朗普 发表 讲话 期间 美国股市 收复 了 失地 ， 因 投资者 正在 寻找 任何 表明 白宫 将 缓和 与 世界 第二 大 经济体 贸易 紧张 关系 的 迹象 。 由于 对 中国 商品 征收 更 多 关税 的 威胁 迫在眉睫 ， 近几天 股票市场 对 任何 与 贸易 相关 的 消息 都 作出 了 迅速 的 反应 。 特朗普 还 表示 ， 如果 两 国 不能 达成协议 ， 美国 将 把 对 价值 2670 亿美元 中国 产品 征收 关税 的 威胁 变成 现实 。 但 又 说 ， “ 我们 可能 没有 必要 那样 做 ， 中国 希望 达成协议 。 ” O 特朗普 称 收到 中国 清单 ， 对 达成 贸易 协议 感 乐观	B
作为 近百年来 技术落后 的 新兴国家 ， 由于 理念 不同 造成 中国 企业 每 一步 前行 都 是 一代 又 一代人 的 努力 ， 付出 巨大 代价 换来 的 。 50 年代 的 科学家 漫长 归国 路 ， 巴统 、 瓦森纳 ， 到 今天 5 Ｇ 时代 的 缠斗 。 有 一件 事 可以 肯定 ， 未来 的 路 仍然 不会 是 坦途 ， 走上 去 还是 坐在 旁边 敲 键盘 摘 果子 ， 这是 一个 问题 。 O 夜航 灯塔 ： 温哥华 庭审 背后 的 较量	OK
前天 在 回家 的 路上 ， 跟 老 舍友 打电话 ， 看到 6 位 爷爷奶奶 ， 看 出来 了 是 中国 人 。 他们 也 看 了 我 好久 ， 然后 我 跟 老 舍友 说换 美金 的 事 ， 其中 一堆 夫妇 就 上来 了 ， 叫 我 带 他们 去 银行 换 美金 。 我 心想 您 看 了 我 那么 久 ， 早就 应该 叫 我 啊 ， 我们 现在 离 汇率 店远 了 那么 多 然后 带 他们 走到 了 花旗银行 又 说 不行 ， 又 只好 带 他们 去 汇率 店 。 然后 他们 跟 我 说 是 自由 行 的 。 我 赶紧 问 你们 有没有 下 地图 ？ 他们 说 有 也 看不懂 。 我 ？ ？ ？ 他们 问 我 走 的 是 什么 街 ？ 我 说 你们 走 的 是 圣彼得堡 最 繁华 的 捏 瓦街 啊 我 的 天 惹 ， 他们 心好 大 啊 。 我 只能 尽力 给 了 我 所知 的 攻略 他们 和 留 了 电话号码 。 希望 他们 不会 出 啥 问题 吧 ， 好人 一生 平安	OK
转发 ： 正东 迎 朝阳 如果 这次 再 像 中兴 那样 让 美国 人 得逞 ， 中华民族 就 无望 了 。 美国 人 现在 最 希望 中国 乱 ， 因此 我们 要 注意 斗争 和 抗议 的 方式 方法 ， 建议 ： 1 、 网上 到 加拿大 大使馆 、 美国大使馆 抗议 ， 2 、 直接 到 美国 加拿大 驻华 的 大使馆 领事馆 抗议 ， 切不可 随便 上街 抗议 游行 而 影响 国家 的 安定 稳定 。 - - - 左大培 答 ： 我要 的 是 举报 和 惩办 美国 奸细 和 帮办	B
今天 欣慰 的 发现 ， 我 的 办公室 里 也 是 各路 零食 的 汇聚 点 ， 隔壁 点检 的 零食 （ 各地 出差 的 特产 ） ， 文革 师傅 的 白茶 、 普洱茶 、 点心 ， 主任 的 牛 板筋 和 奶糖 ， 东哥 给 的 冰淇淋 和 桂圆 、 凉茶 ， 还有 班组 同届 各个 小伙伴 给 的 饼干 和 糖果 ， 人间 真是 充满 爱	B
继 姚明 当选 中国篮协 主席 之后 ， 刘国梁 也 当选 了 中国 乒协 主席 ， 他们 共同 的 背景 是 都 是 在 国际 上 著名 运动员 ， 姚明 有 亚洲 冠军 和 NBA 的 阅历 ， 刘国梁 有 奥运 、 世界杯 、 世锦赛 冠军 的 头衔 ， 专业 人干 专业 事 ， 从 体制 里 走 出来 的 人 更知 体制 里 的 路 ， 更 看 懂 机制 里 的 笈 ， 照猫画虎 地 让 足球 运动员 当 足协 主席 却 难 有 可堪此 任者 。	OK
任何 一个 大国 的 崛起 基本上 都 压榨 了 部分 发展中国家 的 生存空间 （ 低 智识 ， 低 人权 ， 低 薪资 ， 低 管制 ） 以及 倚仗 了 一点 发达国家 生存 发展 的 自律 （ 消费 回归 理性 、 环保 、 动物 保护 等 ） 。	OK
往事 杂忆 我 小时候 ， 对 非洲 独立 视为 绝对 正义事业 和 不可 阻挡 的 历史潮流 予以 肯定 ， 后来 了解 的 事情 多 了 ， 观点 也 就 渐渐 改变 了 。 战后 非洲 独立 运动 领袖 ， 尽管 他们 曾经 在 西方 国家 接受 现代 民主 教育 ， 并 以此 为 独立 理论 和 指导思想 ， 但 一旦 当政 ， 都 奉行 极左 ， 大 搞 独裁 、 个人 生活 则 奢靡 腐化 ， 最后 把 好端端 的 国家 搞 得 乱七八糟 ， 自己 也 难逃 被 推翻 的 命运 ， 好 点儿 的 流亡 他 乡 ， 差点儿 的 直接 丢 了 小命 。 远 的 ， 领导 非洲 战后 第一个 获得 独立 的 国家 加纳 总统 恩克鲁玛 ， 近 一点儿 的 津巴布韦 的 穆加贝 ， 都 这 德行 。	B
每当 夜深 的 时候 ， 或者 喝酒 喝多 的 时候 。 我 都 会 想起 当年 那种 残害 心灵 的 工科 经历 。 从 19 到 25 岁 在 几乎 没有 女性 参与 的 没落 行业 内 被迫 工作 。 感觉 比 文革 还 惨 ， 并且 后 两年 在 生命安全 受到 威胁 的 地方 工作 。 周围 连个 有 共同 经历 的 朋友 都 没有 ， 那种 孤独感 ， 仿佛 永远 无法 醒来 的 噩梦 。	OK
